Var1,Var2,Var3,Var4,Var5,Var6
1.24,-0.0189111629042631,-0.0267316816045945,0,-0.0323333740234375,-0.0237375721335411
1.245,-0.0190081088146614,-0.0266155838525868,0,-0.032562255859375,-0.0238022021949291
1.25,-0.0191045309908021,-0.0266582539253845,0,-0.032684326171875,-0.0238200277090073
1.255,-0.0192003653837112,-0.0267774837705256,0,-0.0327987670898438,-0.0237593371421099
1.26,-0.0192963094801515,-0.0268205801349894,0,-0.0330352783203125,-0.0237707700580359
1.265,-0.0193917236170595,-0.0269305722064947,0,-0.0331954956054688,-0.0237130206078291
1.27,-0.0194867287555115,-0.0270435620952916,0,-0.033294677734375,-0.0236546322703362
1.275,-0.0195823320434294,-0.0269876112758948,0,-0.0334548950195312,-0.0237583015114069
1.28,-0.019684677631018,-0.0270150277961887,0,-0.0418624877929688,-0.0242020171135664
1.285,-0.0197861138403108,-0.0271896434556957,0,-0.042022705078125,-0.0240890011191368
1.29,-0.0198883045140076,-0.0271401477484954,0,-0.0421829223632812,-0.0241958387196064
1.295,-0.019989238292348,-0.0273248048851506,0,-0.042205810546875,-0.0240710973739624
1.3,-0.0200909416533497,-0.0273724880987831,0,-0.0424346923828125,-0.0242040194571018
